,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
24331,South Africa,"Accents of flint and charred apple skin mingle with the orange rind and pear flesh notes on the nose and mouth. Round and flabby on the palate, with a short but clean finish.",Chenin Blanc,85,10.0,Robertson,,,Lauren Buzzeo,@laurbuzz,Robertson Winery 2011 Chenin Blanc (Robertson),Chenin Blanc,Robertson Winery,white,no
24442,France,"Shaped like a butterfly (papillon), this vineyard is one of the best known in Savennières. It is very rich and ripe, from a warm vintage. With its apricot and pear flavors and opulent texture, it brings out the potential of Chenin Blanc. So age this wine for 5–6 years more. Screwcap.",Clos du Papillon,93,,Loire Valley,Savennières,,Roger Voss,@vossroger,Domaine des Baumard 2009 Clos du Papillon  (Savennières),Chenin Blanc,Domaine des Baumard,white,no
24443,France,"A mature and ripe wine, with great nut and biscuit flavors to go with the full yellow fruits. An impressively dense wine, it's a wine that can age, but is ready to drink now. Screwcap.",Trie Spéciale,93,,Loire Valley,Savennières,,Roger Voss,@vossroger,Domaine des Baumard 2010 Trie Spéciale  (Savennières),Chenin Blanc,Domaine des Baumard,white,no
24444,France,"Big, fruity, mature wine, showing a petrol character as well as a rounded texture and a shot of minerality. The wine is both chewy and generous, packed with fruit skins and green bean-acidity. It is ready to drink, very fresh.",Chenin Blanc,93,49.0,Loire Valley,Savennières-Roche-Aux-Moines,,Roger Voss,@vossroger,Domaine FL 2008  Savennières-Roche-Aux-Moines,Chenin Blanc,Domaine FL,white,no
24633,South Africa,"This Chenin immediately draws you in with notes of baked apple, beeswax and softly toasted brioche. The rich, medium-weight mouth carries similar notes of spicy toast and ripe pear flavors. Full-flavored and easy to drink; enjoy now.",The Den,87,12.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Painted Wolf 2009 The Den Chenin Blanc (Coastal Region),Chenin Blanc,Painted Wolf,white,no
24860,France,"An off-dry aromatic wine, showing peach and apricot fruits, with stewed pears that give richness. It is balanced, with an attractive crisp acidity sharpening up the soft texture. It's ready to drink now with its forward fruitiness.",Cuvée V,87,14.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Bougrier 2012 Cuvée V  (Vouvray),Chenin Blanc,Bougrier,white,no
24967,France,"This sparkling wine shows the potential richness that can come from the combination of Chenin Blanc and bubbles. It's a nutty, spicy and ripe wine. At the same time, its acidity and tense structure give a cool crisp feel. This balance and tension are just right and the wine is ready to drink.",Brut,90,23.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Pichot 2014 Brut  (Vouvray),Chenin Blanc,Domaine Pichot,white,no
25135,South Africa,"There's a subtle honeyed edge to this otherwise light and easygoing wine, adding heft to the ripe melon and stone fruit notes. The lush fruit flavors pair with the mouthwatering acidity on the finish, balancing everything out in the end. Drink now.",Chenin Blanc,86,10.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,MAN Vintners 2010 Chenin Blanc (Coastal Region),Chenin Blanc,MAN Vintners,white,no
25311,US,"Pacific Rim is a Riesling specialist, but makes a limited amount of Chenin Blanc; clearly a labor of love. Rare attention is given to this sadly degraded tasting room grape; here it has a chance to express more of its thrilling complexity. Bone dry and loaded with lemon, grapefruit and melon fruit, this adds floral hints and sweet hay in the nose, while balancing its young, leesy flavors with bright acids.",Chenin Blanc,87,11.0,Washington,Washington,Washington Other,Paul Gregutt,@paulgwine ,Pacific Rim 2007 Chenin Blanc (Washington),Chenin Blanc,Pacific Rim,white,no
26371,US,"Bone dry and hinting at a sweet herb flavor, this wine backs away from the fruitiness found in most domestic Chenin Blanc. It offers complex details of yellow fruit, lemon verbena and beeswax.",Old Vine The Brasher Block,90,22.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Merriman 2011 Old Vine The Brasher Block Chenin Blanc (Columbia Valley (WA)),Chenin Blanc,Merriman,white,no
26653,France,"Perhaps less intense than some wines from this appellation, this is still a sweet, honeyed wine that is shot through with lemon acidity. It is poised and very stylish with yellow fruits and orange marmalade that are caught in a web of botrytis. Drink this wine from 2020.",Château de l'Echarderie,91,35.0,Loire Valley,Quarts de Chaume,,Roger Voss,@vossroger,Vignobles Laffourcade 2014 Château de l'Echarderie  (Quarts de Chaume),Chenin Blanc,Vignobles Laffourcade,white,no
26704,US,"Fruity, floral and honeylike flavors give a lot of oomph to this wonderfully expressive, medium-bodied wine. It's as if honeysuckle and orange blossoms were soaked in fresh pear juice.",Dry,88,15.0,California,Mendocino County,,Jim Gordon,@gordone_cellars,Graziano 2014 Dry Chenin Blanc (Mendocino County),Chenin Blanc,Graziano,white,no
27251,US,"From 30-year-old vines, this is one of the finest examples of this variety to come out of the state in recent vintages. It delivers citrus, candlewax, lees, apple and pear aromas, the palate sleekly styled with a blast of acidity that makes it a versatile pour for the dinner table.",Roth Rock Farm,90,22.0,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Lobo Hills 2015 Roth Rock Farm Chenin Blanc (Yakima Valley),Chenin Blanc,Lobo Hills,white,no
27361,France,"White peach aromas and powerful fruitiness give this wine great intensity. It is bone dry while rich, full of quince, pear and peach fruits. There is an extra richness from the edge of wood aging. The wine is still young and should not be drunk before 2020.",Sec,92,25.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Vincent Carême 2015 Sec  (Vouvray),Chenin Blanc,Domaine Vincent Carême,white,no
28009,South Africa,"Pleasant scents of fresh herbs and white flowers lend depth and character to ripe fruit tones of green melon and guava. The lightweight palate is direct and refreshing, with lively acidity and bright citrus flavors that clip the short and clean close. Drink now.",Free-run Steen,86,11.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,MAN Family Wines 2015 Free-run Steen Chenin Blanc (Coastal Region),Chenin Blanc,MAN Family Wines,white,no
28069,France,"An intense, rounded wine, with fresh pear and apple flavors that offer freshness but also richness. Dry, but gives a softer side of Chenin, attractive now, but worth aging for 2–3 years.",Sec,88,16.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Château Moncontour 2006 Sec  (Vouvray),Chenin Blanc,Château Moncontour,white,no
28088,France,"This demi-sec (off dry) means there is some initial roundness that makes it more attractive young. But the underlying acidity and the green plum flavor, along with an edge of tannin, all suggest some aging ability. Drink now–2012.",Demi-sec,88,16.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Château Moncontour 2006 Demi-sec  (Vouvray),Chenin Blanc,Château Moncontour,white,no
28092,France,"Deliciously fresh, this off-dry wine emphasizes the apple flavors of Chenin, its lively acidity balancing the crisp fruit backed by a mineral character. This is likely to age but drinkable now.",Chenin Blanc,88,,Loire Valley,Coteaux du Layon Saint Aubin,,Roger Voss,@vossroger,Domaine Philippe Delesvaux 2006 Chenin Blanc (Coteaux du Layon Saint Aubin),Chenin Blanc,Domaine Philippe Delesvaux,white,no
28260,South Africa,"This is fresh and vibrant, with aromas and flavors of apple, melon and orange citrus. Medium weight, with a mouthwatering zip to the finish, pair this with grilled fish, chicken or summer salads. Drink now.",Chenin Blanc,87,15.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Boschendal 2011 Chenin Blanc (Coastal Region),Chenin Blanc,Boschendal,white,no
28265,South Africa,"There's an assertive oaky presence to this wine, with forward aromas and flavors of vanilla bean, honeyed peach and spiced guava. The round and mouthfilling texture complements the rich fruit flavors, and the finish is long and sweet-spice driven.",Chenin Blanc,87,26.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Post House 2010 Chenin Blanc (Stellenbosch),Chenin Blanc,Post House,white,no
28270,South Africa,"Apple skin, orange rind and clove spice lead on the bouquet, while opulent flavors of popcorn and baked apple fill the medium-weight palate. Despite the rich notes throughout, there's a nice freshness, with a clean, softly spiced finish. Drink now.",The Pirate of Cocoa Hill,87,13.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Dornier 2010 The Pirate of Cocoa Hill Chenin Blanc (Stellenbosch),Chenin Blanc,Dornier,white,no
28405,US,"A fairly rich take on this grape, which many wineries use from this particular vineyard, this bottling is flush with white peach and white melon aromas, cut by lime and dried lemon blossoms, and layered with intriguing kiwi and exotic citrus notes. The palate is more simple, with apple and lemon flavors and chalky texture.",Jurassic Park Vineyard,88,22.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Barton 2014 Jurassic Park Vineyard Chenin Blanc (Santa Ynez Valley),Chenin Blanc,Barton,white,no
28577,France,"Supersweet, but never cloying, with acidity, pear skin tannins and delicate sweet brown sugar and honey flavors. It is a great example of how Loire Chenin manages to keep its balance and freshness while still offering long-aging botrytis character. Keep for at least 10 years.",Sélection de Grains Nobles,93,75.0,Loire Valley,Coteaux du Layon,,Roger Voss,@vossroger,Domaine Philippe Delesvaux 2004 Sélection de Grains Nobles Chenin Blanc (Coteaux du Layon),Chenin Blanc,Domaine Philippe Delesvaux,white,no
28956,US,"This is the producer's inaugural foray into the variety, sourced from the Oak Knoll area. The wine is inspired by the Loire Valley and its well-known Cabernet Franc. Coopered in French oak and stainless steel, it retains a subtle crispness and light body, the acidity supporting highlights of floral white fig, pear and honey.",Chenin Blanc,90,27.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Lang & Reed 2014 Chenin Blanc (Napa Valley),Chenin Blanc,Lang & Reed,white,no
29017,US,"Not particularly varietal for a Chenin Blanc, but a pleasantly rich white wine to drink now. It's crisp in acidity, with sweet flavors of oranges, honey and vanilla.",White Hills Vineyard,87,18.0,California,Santa Barbara County,Central Coast,,,Daniel Gehrs 2010 White Hills Vineyard Chenin Blanc (Santa Barbara County),Chenin Blanc,Daniel Gehrs,white,no
29522,South Africa,"A lightweight and easygoing white, this offers soft aromas and flavors of green apple, melon rind and citrus, all framed by bright acidity. The finish is short, but mouthwatering. Drink now.",Bob's,84,9.0,South Africa,,,Lauren Buzzeo,@laurbuzz,Fat Barrel 2015 Bob's Chenin Blanc (South Africa),Chenin Blanc,Fat Barrel,white,no
29563,France,"Lemony, fruit-driven wine, very crisp in character, with lightness and delicacy. Acidity and a touch of pear flavor offer balance.",Loire Valley Demi-Sec,84,15.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Sauvion 2010 Loire Valley Demi-Sec  (Vouvray),Chenin Blanc,Sauvion,white,no
29599,France,The limestone soil gives this juicy fruity wine a fine tight line of minerality. That contrasts with the apricot and lemon flavors that shine out from this generous wine. It is ready to drink now.,Chemin des Murs,88,29.0,Loire Valley,Saumur,,Roger Voss,@vossroger,Château de Parnay 2014 Chemin des Murs  (Saumur),Chenin Blanc,Château de Parnay,white,no
30362,US,"This tart, lean wine from an Amador County winery is very dry, very tangy and very herbaceous in aroma and flavor. It will be a great choice at lunch or before dinner for people who appreciate aromatic expression and an austere texture.",Herzog Vineyard,88,20.0,California,Clarksburg,Central Valley,Jim Gordon,@gordone_cellars,Andis 2014 Herzog Vineyard Chenin Blanc (Clarksburg),Chenin Blanc,Andis,white,no
30520,US,"From the oldest Chenin Blanc vines in the Dry Creek Valley, winemaker Leo Hansen crafts a dry, floral white with textured character and nuanced acidity that's garnished with layers of apple, herb and pear, and just a suggestion of tropical flourish on the finish.",Saini Farms,90,18.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Leo Steen Wines 2011 Saini Farms Chenin Blanc (Dry Creek Valley),Chenin Blanc,Leo Steen Wines,white,no
30645,US,"As sweet as a cream puff, with marshmallow, lemon custard and vanilla flavors. Think of it as a decent dessert wine and drink accordingly.",Chenin Blanc,84,18.0,California,Santa Barbara County,Central Coast,,,Lucas & Lewellen 2009 Chenin Blanc (Santa Barbara County),Chenin Blanc,Lucas & Lewellen,white,no
30826,France,"The wine comes from vineyards on the plateau above the village of Vouvray. It is a ripe, lemon and honey-flavored wine with balanced acidity that creates a clean, crisp, perfumed and fruity aftertaste. Drink now.",Chenin Blanc,87,17.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Clos Chapon 2016  Vouvray,Chenin Blanc,Clos Chapon,white,no
31275,South Africa,"This rich yet balanced barrel-fermented Chenin opens with enticing aromas of honeycomb, melon flesh, toasted brioche, orange oil and apple skin. The medium-weight palate is creamy and lush, boasting notes of apple and citrus rind that linger on the spicy finish. It's delicious now, but it should also age well through 2020.",Barrel Fermented,91,,Swartland,,,Lauren Buzzeo,@laurbuzz,Doran 2013 Barrel Fermented Chenin Blanc (Swartland),Chenin Blanc,Doran,white,no
31276,US,"One of the more anticipated alternative whites from Santa Barbara County each year, this wine shows light honey brittle, sour tangerine and a touch of sour cream on a bright and lithe nose. The palate offers delicate cherimoya and soft nectarine fruit cut by lime juice and orange rinds, proving light but bursting with energy and flavors.",Ernesto Wickenden Vineyard Old Vines,91,25.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Foxen 2014 Ernesto Wickenden Vineyard Old Vines Chenin Blanc (Santa Maria Valley),Chenin Blanc,Foxen,white,no
31467,France,"The abbey of Marmoutier was founded in the 4th century by Saint Martin. The walled vineyard is owned by the city of Tours, across the Loire from Vouvray. The wine is off dry, ripe with pear and honey and deliciously balanced with the acidity. It is young and will repay aging, so drink from 2020.",Abbaye de Marmoutier Clos du Rougemont,93,26.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Vigneau-Chevreau 2015 Abbaye de Marmoutier Clos du Rougemont  (Vouvray),Chenin Blanc,Domaine Vigneau-Chevreau,white,no
31607,France,"Dry but rich, this is a full-bodied, ripe wine. Apple and citrus flavors are complemented by notes of ripe red currant and spice. Strong acidity reveals how young the wine is. Drink from 2017.",Chenin Blanc,89,20.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Clos du Gaimont 2012  Vouvray,Chenin Blanc,Clos du Gaimont,white,no
31779,New Zealand,"Chenin Blanc isn't common in New Zealand, but the ones made here tend to be worth trying. This plump, medium-bodied wine features intense notes of melon and pear, along with a hint of anise. The finish is long and refreshingly crisp. Drink now.",Wrekin Vineyard,89,23.0,Marlborough,,,Joe Czerwinski,@JoeCz,Astrolabe 2014 Wrekin Vineyard Chenin Blanc (Marlborough),Chenin Blanc,Astrolabe,white,no
31802,South Africa,"A rich nose of peaches, butterscotch and honey leads on this go-to white from Fleur Du Cap. Robust, balanced flavors of like character are buoyed by acidity and freshness. The finish is lingering. Pair with fish and fowl.",Chenin Blanc,86,10.0,Western Cape,,,Susan Kostrzewa,@suskostrzewa,Fleur Du Cap 2007 Chenin Blanc (Western Cape),Chenin Blanc,Fleur Du Cap,white,no
31810,South Africa,"Melon, pineapple and apple aromas followed by a balanced, elegant combination of pineapple, melon and citrus flavors give this Chenin a fresh, zesty appeal. A lingering finish completes the package.",Original Unwooded,86,13.0,Coastal Region,,,Susan Kostrzewa,@suskostrzewa,Raats Family 2008 Original Unwooded Chenin Blanc (Coastal Region),Chenin Blanc,Raats Family,white,no
32964,US,"This is the producer's inaugural foray into the variety, sourced from the Oak Knoll area. The wine is inspired by the Loire Valley and its well-known Cabernet Franc. Coopered in French oak and stainless steel, it retains a subtle crispness and light body, the acidity supporting highlights of floral white fig, pear and honey.",Chenin Blanc,90,27.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Lang & Reed 2014 Chenin Blanc (Napa Valley),Chenin Blanc,Lang & Reed,white,no
33173,South Africa,"Faint scents of pressed flower and grass grace the yellow apple, green melon and lime peel core. The medium-weight palate is clean and easy, with flavors of apple and citrus that are attractive but fade quickly. Drink now.",Chenin Blanc,87,18.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Protea 2015 Chenin Blanc (Western Cape),Chenin Blanc,Protea,white,no
33472,South Africa,"Aromas of fynbos, fresh hop flower, lime leaf and lemon verbena abound in the herbal bouquet of this Chenin. Notes of Anjou pear and green apple form a fruity core to ground the assertive herbal characteristics, while hints of dried herbs and honeyed spice unfold on the close.",Chenin Blanc,87,14.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Neethlingshof 2014 Chenin Blanc (Stellenbosch),Chenin Blanc,Neethlingshof,white,no
33489,South Africa,"This is a rich, toasty and concentrated Chenin, with assertive aromas of toasted oak, sweet spice, Corn Pops cereal and sweet orange. The mouthfeel is round and generous, boasting full flavors of wood-grilled apple and spiced orange that linger long on the spice-fueled finish.",Bushvine,87,18.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Stellenbosch Vineyards 2014 Bushvine Chenin Blanc (Stellenbosch),Chenin Blanc,Stellenbosch Vineyards,white,no
33642,US,"As effusive in flavor as a bowl full of orchard fruits, this wine exudes fresh apple, melon and spearmint aromas backed by ripe yet crisp flavors that carry a vein of apple blossoms. It's not sweet, but it has a pleasant softness around the edges of the mouthfeel.",Chenin Blanc,89,13.0,California,Clarksburg,Central Valley,Jim Gordon,@gordone_cellars,Muddy Boot 2015 Chenin Blanc (Clarksburg),Chenin Blanc,Muddy Boot,white,no
34639,France,"This medium-dry Chenin is deliciously ripe while still light and very fruity. Currant flavors give a juicy character, accented by honey and crisp apples. Fruity now, the wine will become richer and bring out almonds and a more textured character. Drink from 2017.",Demi-Sec,91,13.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine de la Gaverie 2013 Demi-Sec  (Vouvray),Chenin Blanc,Domaine de la Gaverie,white,no
34681,South Africa,"This is a lush, creamy Chenin, brimming with rich notes of honeycomb, honeydew, ripe peach and orange cream. The palate is full and toasty, though ample acidity helps to keep the mouthfeel bright. Notes of baking spice and toasted nuts unfold on the back and linger long on the close. It's delicious now, but should hold and evolve well through 2021.",Reserve,92,35.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,DeMorgenzon 2015 Reserve Chenin Blanc (Stellenbosch),Chenin Blanc,DeMorgenzon,white,no
34860,South Africa,"Winemaker: Sebastian Beaumont. Initial aromas of barely ripe honeydew, green plum and lime pith are assertively laced with hints of fynbos and salinity on the nose. The palate is fresh and zingy, with green plum, apple and citrus fruit flavors that persist through the finish. A nice evolution unfolds on the close, transitioning from lively green fruits to citrus peel and finally ending on a subtle oaky-spice accent. It's young and nervy now, but should show more nuance and elegance with time; enjoy the ride through 2021.",Cape Winemakers Guild Moerse Moer,91,,Bot River,,,Lauren Buzzeo,@laurbuzz,Beaumont 2015 Cape Winemakers Guild Moerse Moer Chenin Blanc (Bot River),Chenin Blanc,Beaumont,white,no
35181,Canada,"Tart and lively, this lip-licking Chenin includes 9% Sauvignon Blanc in the blend. Strong citrus flavors—lemon and grapefruit—along with pineapple, provide the concentrated core. A perfect oyster wine, with sap, snap and tang.",Chenin Blanc,90,19.0,British Columbia,Okanagan Valley,,Paul Gregutt,@paulgwine ,Quails' Gate 2013 Chenin Blanc (Okanagan Valley),Chenin Blanc,Quails' Gate,white,no
35309,US,"Promising aromas of tangerine, light honey and plumeria flowers make a good introduction to this rare look at Chenin Blanc in Paso Robles. The flavors fall a bit flat, though, proving very round with a just a hint of chopped herbs.",Dark Romance,85,35.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,LXV 2013 Dark Romance Chenin Blanc (Paso Robles),Chenin Blanc,LXV,white,no
35715,US,"This wine comes from vineyards planted in the late 1970s. It shows pleasing aromas of Bosc pear, melon and flowers. The wine tastes a hair off dry, with a full, appealing feel to the apple and passion fruit flavors.",Old Vines,90,15.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,L'Ecole No. 41 2015 Old Vines Chenin Blanc (Columbia Valley (WA)),Chenin Blanc,L'Ecole No. 41,white,no
36106,US,"Rothrock Vineyard provides the fruit for this wine that was fermented and aged in neutral French oak. The aromas are light, with notes of herb, chamomile, green apple and spice. It's medium bodied, backed by vibrant acidity that carries through the finish.",Chenin Blanc,89,25.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Lauren Ashton Cellars 2016 Chenin Blanc (Columbia Valley (WA)),Chenin Blanc,Lauren Ashton Cellars,white,no
36276,South Africa,"This wine starts with an attractive nose of melons and lemons, followed by bright and exuberant melon and fruit flavors. Balanced with curvy midpalate weight and a clean but exotic finish, it's a fun wine that offers complexity with charm.",Chenin Blanc,87,10.0,Western Cape,,,Susan Kostrzewa,@suskostrzewa,Sebeka 2008 Chenin Blanc (Western Cape),Chenin Blanc,Sebeka,white,no
36505,France,"This wine is off dry, with honey and lemon flavors cut with tight acidity. Young and fruity, this simple wine is ready to drink.",Jovly,83,14.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Caves du Val de Loire 2015 Jovly  (Vouvray),Chenin Blanc,Caves du Val de Loire,white,no
36748,US,"This offers pleasant notes of apricot, dark caramel, grapefruit, gooseberry and pineapple. It's medium in weight and texture, with acidity on the finish. Swirl it early and often to get the aromas going.",Chenin Blanc,85,8.0,California,Clarksburg,Central Valley,Virginie Boone,@vboone,Baron Herzog 2011 Chenin Blanc (Clarksburg),Chenin Blanc,Baron Herzog,white,no
37104,South Africa,"There is a green, raw wood character to this wine, with additional notes of green apple, strawberry hull and beeswax. The medium-weight palate offers a bitter orange-peel flavor alongside crisp apple and melon rind. Drink now.",Chenin Blanc,87,19.0,Paarl,,,Lauren Buzzeo,@laurbuzz,Olsen Private Vineyards 2015 Chenin Blanc (Paarl),Chenin Blanc,Olsen Private Vineyards,white,no
37107,South Africa,"Ripe pineapple, mango and melon aromas lead the way on the nose of this rich-smelling bottling. Surprisingly lightweight on the palate, it's easygoing and approachable in nature, with mouthwatering citrus flavors that finish short but clean. Drink now.",Big Easy,87,17.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Ernie Els 2016 Big Easy Chenin Blanc (Stellenbosch),Chenin Blanc,Ernie Els,white,no
37225,India,"Pineapple, grapefruit, and apricot show brightly on the nose and palate. Simultaneously refreshing and sophisticated on the palate, this wine has a crisp, lingering finish laced with flavors of almond blossom.",Chenin Blanc,90,10.0,Nashik,,,Mike DeSimone,@worldwineguys,Sula 2013 Chenin Blanc (Nashik),Chenin Blanc,Sula,white,no
37349,US,"Sourced from vines planted 45 years ago, this ripe and floral wine offers classically varietal scents of flowers, while flavors recall pear and peach. The length and detail are excellent.",Hahn Hill Vineyard,90,15.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Pacific Rim 2013 Hahn Hill Vineyard Chenin Blanc (Yakima Valley),Chenin Blanc,Pacific Rim,white,no
37546,France,"Produced from vines grown on the plateau above the Loire east of the town of Saumur, this wine is beautifully ripe and honeyed while still dry. Acidity cuts through the fruitiness and creamy texture to give a crisp aftertaste. This wine is young and drinkable, although it will be so much better from 2018.",Chenin Blanc,88,20.0,Loire Valley,Saumur,,Roger Voss,@vossroger,Domaine Chancelle 2015  Saumur,Chenin Blanc,Domaine Chancelle,white,no
37578,US,"This bright, juicy, charming wine smells like crisp apples, tastes of herbs and citrus, and has a slight sweetness that is balanced by crisp acidity. It's great for a concert in the park or day at the beach.",Chenin Blanc,87,12.0,California,Mendocino,,Jim Gordon,@gordone_cellars,Husch 2013 Chenin Blanc (Mendocino),Chenin Blanc,Husch,white,no
37831,US,"For years, Foxen has been producing one of the best Chenin Blancs in California, and with this 2009, they have outdone themselves. It's so rich in orange, honeydew and pineapple flavors, it might almost be Chardonnay, except it's drier and more minerally, and there's a wonderful note of dried herbs. Although production was only 575 cases, this wine is worth a special search, especially for sommeliers.",Ernesto Wickenden Vineyard Old Vines,93,22.0,California,Santa Maria Valley,Central Coast,,,Foxen 2009 Ernesto Wickenden Vineyard Old Vines Chenin Blanc (Santa Maria Valley),Chenin Blanc,Foxen,white,no
37955,US,Reductive aromas take the lead and distract from the notes of apple and citrus. It drinks off dry with an elegant styling.,Sunbreak Upland Vineyard,85,19.0,Washington,Snipes Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Convergence Zone 2014 Sunbreak Upland Vineyard Chenin Blanc (Snipes Mountain),Chenin Blanc,Convergence Zone,white,no
38561,US,"The spritz on this Chenin Blanc gives this wine a sparkling appeal. The flavors of citrus fruits, green peas and vanilla are lovely.",Chenin Blanc,89,15.0,California,Santa Ynez Valley,Central Coast,,,Roark Wine Co. 2011 Chenin Blanc (Santa Ynez Valley),Chenin Blanc,Roark Wine Co.,white,no
38738,US,"Like an electric zap of grapefruit, lime and stone-fruit flavors, this cutting crisp wine offers refreshment in an exceptionally light-footed package. Dry in style with a bracing bite of sour lemon candy on the midpalate, it's a revitalizing apéritif to be enjoyed year round. Drink now through 2018.",Dry,90,28.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Paumanok 2015 Dry Chenin Blanc (North Fork of Long Island),Chenin Blanc,Paumanok,white,no
38753,France,"A rich dessert Vouvray with a marvelous tension between acidity and honeyed sweetness. There is a floral character, offering a contrast and bringing out a fresher side to the wine. With the tension and texture, the wine will age. Drink from 2017.",Le Marigny,91,40.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Pichot 2011 Le Marigny  (Vouvray),Chenin Blanc,Domaine Pichot,white,no
38772,France,"Barely off dry, this wine is rich and very perfumed, hinting at an attractive light oxidation from the wood aging. Almonds, white fruits and a fine, tight texture round it out. It will age, so drink from 2014.",Le Peu Morier,91,40.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Vincent Carême 2011 Le Peu Morier  (Vouvray),Chenin Blanc,Domaine Vincent Carême,white,no
38894,France,"White wine is rare among producers in Saint-Nicolas-de-Bourgueil who normally concentrate on red wines. However, this wood-aged wine from a parcel that is better suited to Chenin Blanc, has a fine texture, crisp apples even a touch of honey. It should age a little longer, so drink from 2018.",Les Quarterons,89,27.0,Loire Valley,Anjou,,Roger Voss,@vossroger,Domaine Amirault 2015 Les Quarterons Chenin Blanc (Anjou),Chenin Blanc,Domaine Amirault,white,no
39425,France,"Chenin Blanc from Cahors makes sweet wines with intense acidity. This rich, concentrated effort has yellow fruit and ample texture, and it needs to age for 2–3 years.",Clos Triguedina L'Or du Clos,90,32.0,Southwest France,,,Roger Voss,@vossroger,Jean-Luc Baldès 2009 Clos Triguedina L'Or du Clos Chenin Blanc,Chenin Blanc,Jean-Luc Baldès,white,no
39495,France,"Biting acidity, tight with a tart edge, give this wine a seriously crisp character. It is all sharp edges, with grapefruit intensity and a final almond character.",Brut,83,15.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine de Vaugondy NV Brut  (Vouvray),Chenin Blanc,Domaine de Vaugondy,white,no
39854,France,"This is a nutty wine with flavors of hazelnuts and a mature character. The fruit has developed a honey flavor, keeping the acidity and an attractive spicy aftertaste. This ripe wine is ready to drink.",Brut,87,,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine de Vaugondy NV Brut  (Vouvray),Chenin Blanc,Domaine de Vaugondy,white,no
40173,France,"Sparkling Vouvray, full of rich fruit, with layers of almonds, toasted bread and intense acidity. It is a tangy wine, with an apple skin texture over a light creamy mousse.",Cuvée T Brut,89,25.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Vincent Carême 2008 Cuvée T Brut  (Vouvray),Chenin Blanc,Domaine Vincent Carême,white,no
40321,France,"Now approaching its maturity, this is such a smooth, almond and quince flavored wine. It is full in the mouth, very ripe and opulent in style. A gorgeous wine, a wine for sipping and appreciating. Screwcap.",Clos du Papillon,94,,Loire Valley,Savennières,,Roger Voss,@vossroger,Domaine des Baumard 2008 Clos du Papillon  (Savennières),Chenin Blanc,Domaine des Baumard,white,no
40322,France,"Still young, this bright and fruity wine shows lively fruits as well as more intense sweetness. The structure is important here, showing a dry edge of botrytis, lychee and mangos. It has extreme freshness, needing several years to reveal its full, magnificent potential. Give it 5–6 years. Screwcap.",Chenin Blanc,94,,Loire Valley,Quarts de Chaume,,Roger Voss,@vossroger,Domaine des Baumard 2010  Quarts de Chaume,Chenin Blanc,Domaine des Baumard,white,no
